year;title;studios;producers;winner
2003;The Cat in the Hat;Universal StudiosDreamWorks;Brian Grazer;
2003;Charlie's Angels: Full Throttle;Columbia Pictures;Drew BarrymoreLeonard Goldberg and Nancy Juvonen;
2003;From Justin to Kelly;20th Century Fox;John Steven Agoglia;
2003;The Real Cancun;New Line Cinema;Mary-Ellis BunimJonathan MurrayJamie Schutz and Rick de Oliveira;
2004;Catwoman;Warner Bros.;Denise Di Novi and Edward McDonnell;yes
2004;Alexander;Warner Bros.;Moritz BormanJon KilikThomas Schuhly and Iain Smith;
2004;Superbabies: Baby Geniuses 2;Triumph Films;Steven Paul;
2004;Surviving Christmas;DreamWorks;Betty Thomas and Jenno Topping;
2004;White Chicks;Columbia PicturesRevolution Studios;Rick AlvarezLee R. MayesKeenen Ivory WayansMarlon Wayans and Shawn Wayans;
2005;Dirty Love;First Look Pictures;John Mallory AsherBJ DavisRod HamiltonKimberley KatesMichael ManasseriJenny McCarthy and Trent Walford;yes
2005;Deuce Bigalow: European Gigolo;Columbia Pictures;Adam Sandler and Rob Schneider;
2005;The Dukes of Hazzard;Warner Bros.Village Roadshow;Bill Gerber;
2005;House of Wax;Warner Bros.Village Roadshow;Susan LevinJoel Silver and Robert Zemeckis;
2005;Son of the Mask;New Line Cinema;Erica Huggins and Scott Kroopf;
2006;Basic Instinct 2;MGMC2 Pictures;Mario KassarJoel B. Michaels and Andrew G. Vajna;yes
2006;BloodRayne;Romar Entertainment;Uwe BollDan Clarke and Wolfgang Herrold;
2006;Lady in the Water;Warner Bros.;Sam MercerJose L. Rodriguez and M. Night Shyamalan;
2006;Little Man;Columbia PicturesRevolution Studios;Rick AlvaresLee MaysMarlon Wayans and Shawn Wayans;
2006;The Wicker Man;Warner Bros.;Nicolas CageRandall EmmettNorm GolightlyAvi Lerner and Joanne Sellar;
2007;I Know Who Killed Me;TriStar Pictures;David Grace and Frank Mancuso Jr.;
2007;Bratz;Lionsgate;Avi AradIsaac Larian and Steven Paul;
2007;Daddy Day Camp;TriStar PicturesRevolution Studios;Matt BerensonJohn Davis and Wyck Godfrey;
2007;I Now Pronounce You Chuck & Larry;Universal Studios;Adam Sandler and Tom Shadyac;
2007;Norbit;DreamWorks;John DavisEddie Murphy and Michael Tollin;
2008;The Love Guru;Paramount Pictures;Gary BarberMichael DeLuca and Mike Myers;yes
2008;Disaster Movie and Meet the Spartans;Lionsgate20th Century Fox;Jason FriedbergPeter Safran and Aaron Seltzer;
2008;The Happening;20th Century Fox;Barry MendelSam Mercer and M. Night Shyamalan;
2008;The Hottie & the Nottie;Regent Releasing;Hadeel Reda;
2008;In the Name of the King;Boll KGBrightlight Pictures;Uwe BollDan ClarkeWolfgang Herrold and Shawn Williamson;
2009;Transformers: Revenge of the Fallen;Paramount PicturesDreamWorksHasbro;Lorenzo di BonaventuraIan BryceTom DeSanto and Don Murphy;yes
2009;All About Steve;20th Century Fox;Sandra Bullock and Mary McLaglen;
2009;G.I. Joe: The Rise of Cobra;Paramount PicturesHasbro;Lorenzo di BonaventuraBob Ducsay and Brian Goldner;
2009;Land of the Lost;Universal Studios;Sid and Marty Krofft and Jimmy Miller;
2009;Old Dogs;Walt Disney Pictures;Peter AbramsRobert Levy and Andrew Panay;
2010;The Last Airbender;Paramount PicturesNickelodeon Movies;Frank MarshallKathleen KennedySam Mercer and M. Night Shyamalan;yes
2010;The Bounty Hunter;Columbia Pictures;Neal H. Moritz;
2010;Sex and the City 2;New Line CinemaHBO FilmsVillage Roadshow Pictures;Michael Patrick KingJohn MelfiSarah Jessica Parker and Darren Star;
2010;The Twilight Saga: Eclipse;Summit Entertainment;Wyck Godfrey and Karen Rosenfelt;
2010;Vampires Suck;20th Century Fox;Jason FriedbergPeter Safran and Aaron Seltzer;
2011;Jack and Jill;Columbia Pictures;Todd GarnerJack Giarraputo and Adam Sandler;yes
2011;Bucky Larson: Born to Be a Star;Columbia Pictures;Barry BernardiAllen CovertDavid Dorfman and Jack Giarraputo;
2011;New Year's Eve;Warner Bros.New Line Cinema;Mike KarzGarry Marshall and Wayne Allan Rice;
2011;Transformers: Dark of the Moon;Paramount Pictures;Lorenzo di BonaventuraIan BryceTom DeSanto and Don Murphy;
2011;The Twilight Saga: Breaking Dawn – Part 1;Summit Entertainment;Wyck GodfreyStephenie Meyer and Karen Rosenfelt;
2012;The Twilight Saga: Breaking Dawn – Part 2;Summit Entertainment;Wyck GodfreyStephenie Meyer and Karen Rosenfelt;yes
2012;Battleship;Universal Studios;Sarah AubreyPeter BergBrian GoldnerDuncan HendersonBennett Schneir and Scott Stuber;
2012;The Oogieloves in the Big Balloon Adventure;Lionsgate FilmsRomar EntertainmentKenn Viselman Presents;Gayle DickieKenn Viselman;
2012;That's My Boy;Columbia Pictures;Allen CovertJack GiarraputoHeather Parry and Adam Sandler;
2012;A Thousand Words;Paramount PicturesDreamWorks;Nicolas CageAlain ChabatStephanie DananNorman GolightlyBrian Robbinsand Sharla Sumpter Bridgett;
2013;Movie 43;Relativity Media;Peter FarrellyRyan KavanaughJohn Penotti and Charles B. Wessler;yes
2013;After Earth;Columbia Pictures;James LassiterCaleeb PinkettJada Pinkett SmithM. Night ShyamalanWill Smith and Jaden Smith;
2013;Grown Ups 2;Columbia Pictures;Jack Giarraputo and Adam Sandler;
2013;The Lone Ranger;Walt Disney Pictures;Jerry Bruckheimer and Gore Verbinski;
2013;A Madea Christmas;Lionsgate;Ozzie AreuMatt Moore and Tyler Perry;
2014;Saving Christmas;Samuel Goldwyn Films;Darren DoaneRaphi HenleyAmanda Rosser and David Shannon;yes
2014;Left Behind;Freestyle ReleasingEntertainment One;Michael Walker and Paul LaLonde;
2014;The Legend of Hercules;Summit Entertainment;Boaz DavidsonRenny HarlinDanny Lerner and Les Weldon;
2014;Teenage Mutant Ninja Turtles;Paramount PicturesNickelodeon MoviesPlatinum Dunes;Michael BayIan BryceAndrew FormBradley FullerScott Mednick and Galen Walker;
2014;Transformers: Age of Extinction;Paramount Pictures;Ian BryceTom DeSantoLorenzo di Bonaventura and Don Murphy;
2015;Fantastic Four;20th Century Fox;Simon KinbergMatthew VaughnHutch ParkerRobert Kulzer and Gregory Goodman;yes
2015;Fifty Shades of Grey;Universal PicturesFocus Features;Michael De LucaDana Brunetti and E. L. James;yes
2015;Jupiter Ascending;Warner Bros.;Grant Hill and The Wachowskis;
2015;Paul Blart: Mall Cop 2;Columbia Pictures;Todd GarnerKevin James and Adam Sandler;
2015;Pixels;Columbia Pictures;Adam SandlerChris ColumbusMark Radcliffe and Allen Covert;
2016;Hillary's America: The Secret History of the Democratic Party;Quality Flix;Gerald R. Molen;yes
2016;Batman v Superman: Dawn of Justice;Warner Bros.;Charles Roven and Deborah Snyder;
2016;Dirty Grandpa;Lionsgate;Bill BlockMichael SimkinJason Barrett and Barry Josephson;
2016;Gods of Egypt;Summit Entertainment;Basil Iwanyk and Alex Proyas;
2016;Independence Day: Resurgence;20th Century Fox;Dean DevlinHarald Kloser and Roland Emmerich;
2016;Zoolander 2;Paramount Pictures;Stuart CornfeldScott RudinBen Stiller and Clayton Townsend;
2017;The Emoji Movie;Columbia Pictures;Michelle Raimo Kouyate;yes
2017;Baywatch;Paramount Pictures;Ivan ReitmanMichael BerkDouglas SchwartzGregory J. Bonann and Beau Flynn;
2017;Fifty Shades Darker;Universal Pictures;Michael De LucaE. L. JamesDana Brunetti and Marcus Viscidi;
2017;The Mummy;Universal Pictures;Alex KurtzmanChris MorganSean Daniel and Sarah Bradshaw;
2017;Transformers: The Last Knight;Paramount Pictures;Don MurphyTom DeSantoLorenzo di Bonaventura and Ian Bryce;
2018;Holmes & Watson;Columbia Pictures;Will FerrellAdam McKayJimmy Miller and Clayton Townsend;yes
2018;Gotti;Vertical Entertainment;Randall EmmettMarc FioreMichael Froch and George Furla;
2018;The Happytime Murders;STX;Ben FalconeJeffrey HayesBrian Henson and Melissa McCarthy;
2018;Robin Hood;Summit Entertainment;Jennifer Davisson and Leonardo DiCaprio;
2018;Winchester;Lionsgate;Tim McGahan and Brett Tomberlin;
2019;Cats;Universal Pictures;Debra HaywardTim BevanEric Fellnerand Tom Hooper;yes
2019;The Fanatic;Quiver Distribution;Daniel GrodnikOscar Generaleand Bill Kenwright;
2019;The Haunting of Sharon Tate;Saban Films;Lucas JarachDaniel Farrandsand Eric Brenner;
2019;A Madea Family Funeral;Lionsgate;Ozzie AreuWill Areuand Mark E. Swinton;
2019;Rambo: Last Blood;Lionsgate;Avi LernerKevin King TempletonYariv Lernerand Les Weldon;
